Symbol,Name,Index,Description,Category,Provider
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,MSCI All Country Asia ex Japan Index,The index measures the performance of 11 developed and emerging equity market.,Asia Pacific Equities,iShares
ACWI,MSCI All Country World Index Fund,MSCI All Country World Index,The Index is designed to measure the performance of global equity markets.,Global Equities,iShares
ACWX,iShares MSCI ACWI ex US Index Fund,MSCI All Country World ex-U.S. Index,"The index measures the performance of global equity markets, excluding the United States.",Global Equities,iShares
ADRA,PowerShares BLDRS Asia 50 ADR Index Fund,Bank of New York Mellon Asia 50 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 50 Asian market-based depositary receipts.,Asia Pacific Equities,Invesco PowerShares
ADRD,PowerShares BLDRS Developed Markets 100 ADR Index,Bank of New York Mellon Developed Markets 100 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 100 developed market-based depositary receipts.,Foreign Large Cap Equities,Invesco PowerShares
ADRE,PowerShares BLDRS Emerging Markets 50 ADR Index Fund,Bank of New York Mellon Emerging Markets 50 ADR Index,The Index is capitalization-weighted and designed to track the performance of approximately 50 emerging market-based depositary receipts.,Emerging Markets Equities,Invesco PowerShares
ADRU,PowerShares BLDRS Europe 100 ADR Index Fund,Bank of New York Mellon Europe 100 ADR Index,The Index is capitalization weighted and designed to track the performance of approximately 100 European market-based depositary receipts.,Europe Equities,Invesco PowerShares
ADZ,DB Agriculture Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (-100%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Inverse Commodities,Invesco PowerShares
AFK,Market Vectors-Africa Index ETF,Dow Jones Africa Titans 50 Index,The Index provides exposure to publicly traded companies that are headquartered in Africa or that generate the majority of their revenues in Africa.,Emerging Markets Equities,Van Eck
AGA,DB Agriculture Double Short ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture (-200%),"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Leveraged Commodities,Invesco PowerShares
AGF,DB Agriculture Long ETN,Deutsche Bank Liquid Commodity Index-Optimum Yield Agriculture,"The index is designed to reflect the performance of certain corn, wheat, soybean and sugar futures contracts plus the returns from investing in 3 month United States Treasury Bills.",Agricultural Commodities,Invesco PowerShares
AGG,iShares Barclays Aggregate Bond Fund,Barclays Capital U.S. Aggregate Bond Index,The index measures the performance of the U.S. investment grade bond market.,Total Bond Market,iShares
AGQ,ProShares Ultra Silver,Silver bullion (200%),"ProShares Ultra Silver seeks daily investment results, before fees and expenses, that correspond to twice (200%) the daily performance of silver bullion as measured by the U.S. Dollar fixing price for delivery in London.",Leveraged Commodities,ProShares
AGZ,iShares Barclays Agency Bond,Barclays Capital U.S. Agency Bond Index,The index measures the performance of the agency sector of the U.S. government bond market.,Government Bonds,iShares
AIA,iShares S&P Asia 50,S&P Asia 50 Index,"The index measures the performance of 50 leading companies from four Asian countries: Hong Kong, South Korea, Singapore, and Taiwan.",Emerging Markets Equities,iShares
